counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon
4006,DC,DC100,Cres,DC101,ŽC5124,2.3,44.97533,14.41253
4001,DC,DC100,Predošćica,LC58084,DC101,10.1,,
2938,DC,DC99,Drivenik,DC501,ŽC5089,6.4,45.247443,14.629839
2219,DC,DC80,Pepelana,LC40044,LC40031,4.6,45.74383,17.49835
2224,DC,DC80,Koreničani,ŽC3094,LC40022,12.4,45.65712,17.35838
3915,DC,DC77,Vodnjan,LC50144,ŽC5101,2.2,44.97492,13.86637
2751,DC,DC77,Žminj,ŽC5077,LC50132,2.7,45.13633,13.8994
6011,DC,DC76,Vinjani Gornji,LC67168,LC67167,1.2,,
6037,DC,DC76,Poljica,LC67160,ŽC6183,2.0,43.42505,17.1313
6026,DC,DC76,Tunel Sveti Ilija,LC67177,LC67143,6.1,43.3938,17.03715
3905,DC,DC75,Pula - sjever,ŽC5117,LC50160,2.3,44.91435,13.84947
2717,DC,DC75,Bale,ŽC5098,ŽC5096,2.9,45.037077,13.789818
2757,DC,DC75,Funtana,ŽC5116,ŽC5071,5.8,45.19815,13.60307
2765,DC,DC75,Vrvari,LC50046,DC302,0.7,45.2261,13.62483
2708,DC,DC75,Dajla,LC50040,DC301,5.5,45.3567,13.55597
5927,DC,DC116,Dubovica,ŽC6280,ŽC6252,5.5,43.1668,16.5578
5919,DC,DC115,Gornji Humac,DC113,ŽC6192,1.0,43.28772,16.71753
5907,DC,DC113,Supetar - jug,DC114,LC67172,4.2,43.373527,16.559033
4815,DC,DC110,Kukljica,LC63171,LC63110,4.9,44.02895,15.24985
4813,DC,DC109,Brbinj,DC124,LC63095,1.9,,
4110,DC,DC107,Nova Novalja,ŽC5151,DC106,1.6,44.54268,14.89708
4822,DC,DC106,Vulete,ŽC6007,LC63027,4.5,44.258503,15.368625
4801,DC,DC106,Most otok Pag,ŽC6005,ŽC6007,17.6,44.31632,15.26772
4106,DC,DC105,Barbat na Rabu,ŽC5139,TP,6.4,44.720799,14.823029
2947,DC,DC104,Strilčići,LC58070,LC58085,3.6,45.09183,14.53257
2946,DC,DC102,Punat - sjever,ŽC5125,ŽC5183,1.6,45.04203,14.62495
2934,DC,DC102,Krk,ŽC5131,ŽC5131,2.3,45.034408,14.576607
2924,DC,DC102,Sveti Vid,ŽC5084,ŽC5086,3.1,,
2922,DC,DC102,Omišalj,LC58065,DC129,0.8,45.195386,14.560323
2948,DC,DC102,Most Krk,DC103,ŽC5083,1.2,45.22113,14.5626
4007,DC,DC101,Merag,DC100,luka,10.8,,
1109,DC,DC205,Tuheljske Toplice,ŽC2248,ŽC2155,1.5,,
3040,DC,DC204,Bosanci,DC3,ŽC3175,3.5,45.42172,15.2774
3001,DC,DC204,Pribanjci,LC34055,DC3,1.4,,
2936,DC,DC203,Mala Lešnica,LC58022,LC58113,9.5,45.440774,14.850036
2704,DC,DC201,Štrped,LC50023,LC50026,2.3,45.43562,13.9427
2719,DC,DC200,Vižinada - sjever,DC44,ŽC5041,6.1,,
2707,DC,DC200,Sveti Ivan,LC50015,ŽC5008,6.0,45.373965,13.706021
2701,DC,DC200,Plovanija,GP,DC510,2.2,45.455965,13.63487
5445,DC,DC126,Mastrinka,ŽC6134,ŽC6136,0.4,43.51582,16.26768
5443,DC,DC126,Trogir,ŽC6133,ŽC6134,0.7,43.52182,16.26485
5338,DC,DC121,Ivinj,ŽC6085,LC65032,5.6,43.80293,15.6732
5304,DC,DC121,Murter,ŽC6250,ŽC6250,2.8,,
6504,DC,DC120,Babino Polje,LC69072,LC69072,3.0,42.733889,17.552573
6403,DC,DC118,Žrnovo,LC69073,LC69073,1.5,42.938026,17.104267
5801,DC,DC117,Vis,ŽC6212,LC67212,0.5,,
5917,DC,DC116,Jelsa,LC67194,LC67234,0.5,43.15679,16.686805
4501,DC,DC214,Posavski Podgajci,ŽC4230,LC46054,7.6,44.968119,18.822439
2601,DC,DC213,Erdut,DC519,ŽC4093,6.6,,
2511,DC,DC213,Bijelo Brdo,LC44084,LC44085,3.9,45.516365,18.887531
2502,DC,DC212,Suza,ŽC4037,LC44011,4.9,45.77276,18.764018
2410,DC,DC211,Baranjsko Petrovo Selo,GP,DC517,2.0,,
1402,DC,DC210,Virje,LC26157,LC26102,2.0,,
1408,DC,DC210,Repaš,ŽC2116,LC26037,3.1,46.13163,17.07852
1257,DC,DC209,Šenkovec - jug,LC20050,DC78,0.6,,
1201,DC,DC209,Šenkovec,LC20079,DC227,4.0,46.412245,16.423313
1001,DC,DC209,Mursko Središće,ŽC2006,LC20019,3.0,46.504034,16.431542
1202,DC,DC208,Trnovec,GP,LC20056,1.4,46.38379,16.307342
1124,DC,DC207,Hromec,GP,ŽC2096,5.3,46.208538,15.795952
1105,DC,DC206,Petrovsko,ŽC2120,DC1,9.1,,
1133,DC,DC206,Pregrada,ŽC2118,DC507,1.5,,
1112,DC,DC206,Hum na Sutli,DC233,DC229,1.6,,
1149,DC,DC205,Jezero Klanječko,DC507,ŽC2195,1.1,46.02178,15.85212
1805,DC,DC228,Kamanje,ŽC3097,ŽC3296,7.5,45.644586,15.441877
1243,DC,DC227,Brezje,ŽC2015,DC209,2.4,46.41358,16.40743
1002,DC,DC227,Štrigova,GP,ŽC2007,2.8,,
1925,DC,DC225,Zaprešić - istok,ŽC2186,AC2,4.1,,
1924,DC,DC225,Šenkovec - istok,ŽC3033,ŽC3035,1.2,,
3309,DC,DC224,Gornji Hrastovac,LC33126,LC33117,5.3,,
3304,DC,DC224,Sunja,ŽC3244,ŽC3211,1.9,45.35705,16.549073
6610,DC,DC223,Dubac,ŽC6243,DC8,1.7,42.6312,18.15648
6605,DC,DC223,Gornji Brgat,GP,LC69048,1.7,,
5506,DC,DC220,Kamensko,LC67104,GP,3.0,43.615668,16.959961
5520,DC,DC220,Čaporice,ŽC6260,DC60,4.5,43.586892,16.72136
5501,DC,DC219,Obrovac Sinjski,LC67016,ŽC6122,1.6,,
5502,DC,DC219,Progon - istok,DC56,LC67031,2.0,,
4310,DC,DC218,Frkašić,DC1,LC59102,29.7,44.7033,15.75978
4301,DC,DC217,Ličko Petrovo Selo,DC1,GP,3.0,44.880562,15.725877
3109,DC,DC216,Miholjsko,ŽC3224,LC34144,4.5,45.257636,15.693068
1236,DC,DC307,Gusakovec,LC22094,LC22078,2.9,,
1901,DC,DC307,Stubičke Toplice,LC22071,ŽC2200,1.7,,
1936,DC,DC307,Oroslavje,LC22069,LC22069,0.5,45.990835,15.915844
4808,DC,DC306,Kožino,LC63048,DC8,10.3,44.166135,15.201306
4821,DC,DC306,Privlaka - sjever,LC63168,ŽC6273,2.9,,
2716,DC,DC303,Sošići,LC50128,DC75,1.0,45.10833,13.76283
2711,DC,DC302,Žbandaj,LC50089,ŽC5072,3.6,45.21633,13.65762
2720,DC,DC301,Bužinija - jug,DC75,ŽC5070,3.7,,
2718,DC,DC300,Buje - zapad,AC9,ŽC5070,1.4,,
2705,DC,DC300,Grando,LC50006,LC50008,2.8,,
6503,DC,DC237,Zaton Doli,ŽC6227,ŽC6295,6.1,42.835776,17.745685
6501,DC,DC236,Klek,DC8,ŽC6279,5.3,42.94192,17.56835
3316,DC,DC232,Drenov Bok,ŽC3249,DC47,12.8,45.27708,16.86385
1933,DC,DC231,Sveta Nedelja,ŽC3061,AC3,0.6,45.800862,15.782704
1127,DC,DC229,Zagorska Sela,LC22025,DC205,4.0,46.09557,15.63498
1934,DC,DC228,Mahićno,ŽC3143,DC1,6.4,45.522856,15.540841
4820,DC,DC424,Gaženica,DC8,DC422,3.9,,
3625,DC,DC423,Slavonski Brod 1,DC514,DC72,2.8,45.17027,18.0421
4828,DC,DC422,Zemunik,DC424,ŽC6040,4.0,44.09373,15.31945
6609,DC,DC420,Sustjepan,DC8,luka,2.8,42.66907,18.0888
2517,DC,DC417,Osijek luka,Osijek,DC213,5.7,45.53995,18.7635
6404,DC,DC415,Košarni Do,LC69026,DC414,1.4,42.97292,17.29688
6502,DC,DC414,Putniković,ŽC6226,DC8,6.0,42.862577,17.552013
6401,DC,DC414,Golubinica,LC69025,DC415,6.7,42.97497,17.26918
6038,DC,DC413,Ploče,DC425,ŽC6216,1.0,43.04736,17.44037
5444,DC,DC409,Divulje,DC8,DC8,6.3,43.53737,16.3039
2035,DC,DC408,Velika Gorica sj. obilaz.,zr. luka,DC30,3.8,,
4827,DC,DC407,Zadar,luka,DC8,3.8,,
2845,DC,DC403,Škurinje,AC7,DC8,2.1,,
3911,DC,DC401,Pula aerodrom,DC66,ŽC5120,1.6,,
2123,DC,DC318,Klokočevac,DC28,DC43,6.0,45.93162,16.7851
1953,DC,DC310,Jastrebarsko,LC31139,AC1,4.6,45.6565,15.65448
2533,DC,DC517,Beli Manastir obilaznica,ŽC4293,DC550,0.6,45.77195,18.5845
6701,DC,DC516,Pločice,DC8,ŽC6240,4.6,,
3621,DC,DC515,Bračevci,LC44100,LC44101,3.4,45.435497,18.265604
2418,DC,DC515,Našice obilaznica,DC2,ŽC4168,2.0,45.5074,18.11903
3622,DC,DC514,Slavonski Brod - Šestinac,DC53,DC423,1.9,45.17785,18.04305
6039,DC,DC512,Stupica,ŽC6198,ŽC6199,8.2,43.25777,17.08117
2748,DC,DC510,Kaštel - sjever,DC200,ŽC5220,0.6,,
1129,DC,DC507,Martinišće,LC22041,DC205,2.0,46.03218,15.85315
4917,DC,DC503,Kakma,LC63126,LC63119,1.5,,
4924,DC,DC502,Smilčić - istok,ŽC6023,ŽC6019,6.6,,
2918,DC,DC501,Križišće,ŽC5063,ŽC5068,3.6,45.267595,14.607165
2926,DC,DC501,čv. Oštrovica - jug,AC6,AC7,7.1,45.30068,14.58395
2811,DC,DC500,Vranja,LC50084,LC50087,5.3,45.310149,14.133999
2062,DC,DC430,Selnica Šćitarjevska,DC30,zr. luka,2.1,,
4311,DC,DC429,Jezerce,LC59025,DC1,9.9,44.86633,15.63875
4315,DC,DC429,Selište Drežničko,DC42,LC59024,1.0,44.93475,15.6269
1943,DC,DC543,Donja Zdenčina,DC1,ŽC3106,2.2,45.67688,15.75732
3042,DC,DC541,Veliki Modruš Potok,DC6,ŽC3141,2.6,45.49923,15.39973
2037,DC,DC540,Komin,LC31003,DC3,0.3,45.997886,16.279156
2232,DC,DC538,Brezik,DC5,ŽC4005,9.6,45.86018,17.40702
3742,DC,DC537,Otok,ŽC4172,ŽC4224,0.7,45.14957,18.88543
1265,DC,DC528,Kneginec Donji,DC2,ŽC2070,1.4,46.26492,16.37812
3525,DC,DC525,Gornji Andrijevci,ŽC4244,LC42030,2.5,45.17833,17.87057
