year,category,oznaka_ceste,road_number,counter_id,naziv,smjer,pgdp,pldp,od,do,section_desc,length_km,brojenje,lat,lon,od_loc,do_loc,length_km_loc,naziv_loc
2024,DC,DC50,50,4219,Perušić,,2794.0,3111.0,ŽC5154,DC25,Ž5154 - D25,5.6,NAB,44.6374,15.39222,ŽC5154,DC25,5.6,Perušić
2024,DC,DC50,50,4225,Gospić - jug,jug,2318.0,2821.0,DC25,A1,D25 - A1,28.5,NAB,44.5303,15.40285,DC25,A1,28.5,Gospić - jug
2024,DC,DC50,50,4931,Medak - jug,jug,904.0,1225.0,DC25,A1,D25 - A1,28.5,PAB,,,,,,
2024,DC,DC50,50,4905,Sveti Rok,,1639.0,2348.0,A1,LC59116,A1 - L59116,1.5,NAB,44.380525,15.643391,A1,LC59116,1.5,Sveti Rok
2024,DC,DC51,51,3530,Bektež,,1696.0,1773.0,ŽC4117,LC41045,Ž4117 - L41045,2.4,NAB,45.3957,17.92062,ŽC4117,LC41045,2.4,Bektež
2024,DC,DC51,51,3524,Eminovci,,6382.0,6246.0,LC41033,DC38,L41033 - D38,3.2,NAB,45.35652,17.72953,LC41033,DC38,3.2,Eminovci
2024,DC,DC51,51,3515,Oblakovac,,1996.0,2084.0,DC38,LC41019,D38 - L41019,8.8,NAB,45.344128,17.490816,DC38,LC41019,8.8,Oblakovac
2024,DC,DC52,52,4204,Vrhovine,,1422.0,2213.0,ŽC5130,LC59140,Ž5130 - L59140,6.6,NAB,44.84918,15.40352,ŽC5130,LC59140,6.6,Vrhovine
2024,DC,DC53,53,2401,Donji Miholjac - sjever,sjever,1473.0,1863.0,GP,ŽC4295,GP - Ž4295,3.9,NAB,45.771658,18.177166,GP,ŽC4295,3.9,Donji Miholjac - sjever
2024,DC,DC53,53,2417,Donji Miholjac,,4102.0,4038.0,ŽC4295,DC34,Ž4295 - D34,2.4,NAB,45.7607,18.18113,ŽC4295,DC34,2.4,Donji Miholjac
2024,DC,DC53,53,2404,Beničanci,,1628.0,1667.0,ŽC4046,ŽC4031,Ž4046 - Ž4031,4.8,PAB,,,,,,
2024,DC,DC53,53,2409,Velimirovac,,5303.0,5290.0,ŽC4075,LC44044,Ž4075 - L44044,0.24,NAB,45.524946,18.096453,ŽC4075,LC44044,0.24,Velimirovac
2024,DC,DC53,53,3603,Gradac Našički,,2133.0,2229.0,LC44094,DC51,L44094 - D51,10.3,NAB,45.437257,18.035876,LC44094,DC51,10.3,Gradac Našički
2024,DC,DC53,53,3503,Čaglin,,1086.0,1127.0,LC41046,ŽC4124,L41046 - Ž4124,2.7,NAB,45.36033,17.98658,LC41046,ŽC4124,2.7,Čaglin
