cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC8,6506,Doli,D414,L69045,80,70.0,83.0,80.0,95.0,2023,76.5,87.5
DC8,6608,Vidikovac,D420,D223,90,58.0,61.0,67.0,68.0,2023,59.5,67.5
DC8,6602,Kupari,L69050,Ž6243,90,54.0,58.0,63.0,68.0,2023,56.0,65.5
DC8,6604,Gruda,Ž6241,D516,70,63.0,65.0,73.0,77.0,2023,64.0,75.0
DC9,6104,Kula Norinska,L69013,L69012,90,83.0,82.0,95.0,95.0,2023,82.5,95.0
DC10,2008,Sveta Helena (smjer Dubrava),A4,Ž3034,110,114.0,125.0,128.0,138.0,2023,119.5,133.0
DC10,2008,Sveta Helena (smjer Sv. Helena),Ž3034,A4,110,114.0,125.0,128.0,138.0,2023,119.5,133.0
DC10,2030,Vrbovec obilaznica (smjer Dubrava),Ž3034,D26,100,109.0,123.0,125.0,138.0,2023,116.0,131.5
DC10,2030,,D26,Ž3034,100,114.0,121.0,129.0,133.0,2023,117.5,131.0
DC10,2143,Tremovački potok (smjer Križevci),D28,D22,100,116.0,125.0,133.0,144.0,2023,120.5,138.5
DC10,2143,Tremovački potok (smjer Konak),D22,D28,100,116.0,119.0,133.0,138.0,2023,117.5,135.5
DC12,2150,Haganj,D10,D544,100,122.0,130.0,144.0,150.0,2023,126.0,147.0
DC12,2150,Haganj,D544,D10,100,112.0,129.0,133.0,150.0,2023,120.5,141.5
DC14,1143,Mokrice,D307,Ž2197,100,99.0,100.0,112.0,112.0,2023,99.5,112.0
DC14,1145,Bedekovcina,Ž2197,Ž2198,100,100.0,104.0,112.0,120.0,2023,102.0,116.0
DC20,1319,Ivanovec,Ž2022,A4,60,78.0,80.0,88.0,92.0,2023,79.0,90.0
DC20,1340,Prelog - istok,Ž2026,L20040,70,78.0,79.0,90.0,92.0,2023,78.5,91.0
DC20,1324,Koprivnica - sjever,L26154,D2,90,74.0,77.0,88.0,95.0,2023,75.5,91.5
DC22,1233,Možđenec,D3,D24,80,76.0,78.0,88.0,90.0,2023,77.0,89.0
DC22,1268,Orehovec,Ž2176,Ž2177,50,54.0,57.0,63.0,68.0,2023,55.5,65.5
DC23,3008,Belavići,D3,L34067,60,70.0,69.0,80.0,80.0,2023,69.5,80.0
DC23,3014,Munjava,D42,L34137,60,63.0,60.0,75.0,72.0,2023,61.5,73.5
DC24,1230,Konjščina,Ž2170,Ž2204,50,58.0,60.0,71.0,73.0,2023,59.0,72.0
DC24,1237,Ljubešćica,Ž2136,L25150,90,64.0,66.0,73.0,75.0,2023,65.0,74.0
DC25,1269,Varaždinske Toplice,D526,L25143,70,66.0,61.0,77.0,69.0,2023,63.5,73.0
DC25,4206,Budak,D50,D534,60,62.0,63.0,71.0,72.0,2023,62.5,71.5
