counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon,matched_oznaka_ceste,kategorija_full,seg_id,dist_m,match_method,confidence
5508,ZC,ŽC6253,Klis,LC67075,LC67074,3.9,43.558157,16.518926,ŽC6253,županijska cesta,6540,2.899148643107958,exact_road_name,high
5510,DC,DC60,Cista Velika,LC67093,ŽC6153,3.7,43.534104,16.871285,DC60,državna cesta,6069,0.8644155780190681,exact_road_name,high
5513,ZC,ŽC6142,Strožanac,DC8,G.A.P.,1.9,43.504931,16.534171,ŽC6142,županijska cesta,6339,0.9808866969709746,exact_road_name,high
5520,DC,DC220,Čaporice,ŽC6260,DC60,4.5,43.586892,16.72136,DC220,državna cesta,1288,2.3921181782393095,exact_road_name,high
5524,DC,DC1,Sinj,ŽC6118,DC219,3.3,43.720748,16.641355,DC1,državna cesta,18,0.44231839495893943,exact_road_name,high
5525,ZC,ŽC6260,Dugopolje - sjever,ŽC6145,ŽC6146,4.8,43.595529,16.578366,ŽC6260,županijska cesta,6550,1.6198466958481603,exact_road_name,high
5526,DC,DC1,Dicmo,ŽC6119,ŽC6120,0.9,43.641,16.599405,DC1,državna cesta,72,2.4289996241325253,exact_road_name,high
5527,ZC,ŽC6289,Grab,LC67047,DC220,1.5,43.64573,16.75562,ŽC6289,županijska cesta,6620,95.20683377950493,exact_road_name,medium
5528,ZC,ŽC6287,Bajagić,ŽC6105,DC219,8.0,43.7506,16.671,ŽC6287,županijska cesta,6619,5.096876539506248,exact_road_name,high
5529,ZC,ŽC6260,Bisko,ŽC6147,ŽC6148,2.2,43.58025,16.68303,ŽC6260,županijska cesta,6550,13.182728937533446,exact_road_name,high
5530,LC,LC67029,Zelovo,LC67010,DC1,6.6,43.76092,16.59753,LC67029,lokalna cesta,7047,0.7782831073377151,exact_road_name,high
5531,LC,LC67040,Sinj - jugoistok,DC1,ŽC6289,8.2,43.69792,16.66028,LC67040,lokalna cesta,7061,0.535747979108775,exact_road_name,high
5901,DC,DC60,Lovreć,LC67101,ŽC6173,0.9,43.492304,16.978946,DC60,državna cesta,6061,3.800430057110467,exact_road_name,high
5902,DC,DC8,Jesenice,ŽC6162,LC67112,2.7,43.464737,16.587021,DC8,državna cesta,7639,5.865270605825258,exact_road_name,high
5903,DC,DC39,Gornja Brela,ŽC6166,LC67134,7.3,43.407834,16.908954,DC39,državna cesta,3396,11.886106508716278,exact_road_name,high
5907,DC,DC113,Supetar - jug,DC114,LC67172,4.2,43.373527,16.559033,DC113,državna cesta,326,7.728629876184354,exact_road_name,high
5908,DC,DC39,Cista Provo - jug,ŽC6171,ŽC6172,3.6,43.473002,16.925039,DC39,državna cesta,3395,1.9276207770602523,exact_road_name,high
5909,DC,DC8,Pisak,ŽC6167,LC67136,1.9,43.40367,16.84503,DC8,državna cesta,7646,0.9413527800985474,exact_road_name,high
